Day,Time,Metres,Julian_Day,Maxima
1/1/2018,553,3.9,1,HH
1/1/2018,1101,2.8,1,L
1/1/2018,1548,3.9,1,HH
1/1/2018,2336,0.1,1,LL
1/2/2018,637,4.1,2,HH
1/2/2018,1158,2.7,2,L
1/2/2018,1640,3.8,2,H 
1/3/2018,23,0.1,3,LL
1/3/2018,720,4.2,3,HH
1/3/2018,1255,2.6,3,L
1/3/2018,1733,3.7,3,H
1/4/2018,108,0,4,LL
1/4/2018,804,4.2,4,HH
1/4/2018,1354,2.5,4,L
1/4/2018,1828,3.5,4,H
1/5/2018,153,0.1,5,LL
1/5/2018,847,4.2,5,HH
1/5/2018,1456,2.3,5,L
1/5/2018,1928,3.2,5,H
1/6/2018,236,0.4,6,LL
1/6/2018,929,4.2,6,HH
1/6/2018,1559,2,6,L
1/6/2018,2035,2.9,6,H
1/7/2018,320,0.8,7,L
1/7/2018,1012,4.1,7,HH
1/7/2018,1702,1.8,7,L
1/7/2018,2157,2.7,7,H
1/8/2018,405,1.3,8,LL
1/8/2018,1053,4,8,HH
1/8/2018,1805,1.5,8,L
1/8/2018,2338,2.6,8,H
1/9/2018,456,1.8,9,L
1/9/2018,1134,3.8,9,HH
1/9/2018,1903,1.2,9,LL
1/10/2018,125,2.7,10,H
1/10/2018,558,2.2,10,L
1/10/2018,1214,3.7,10,HH
1/10/2018,1957,1,10,LL
1/11/2018,257,3,11,H
1/11/2018,713,2.6,11,L
1/11/2018,1253,3.6,11,HH
1/11/2018,2046,0.8,11,LL
1/12/2018,403,3.3,12,H
1/12/2018,831,2.8,12,L
1/12/2018,1333,3.5,12,HH
1/12/2018,2130,0.7,12,LL
1/13/2018,450,3.5,13,HH
1/13/2018,937,2.8,13,L
1/13/2018,1414,3.4,13,H
1/13/2018,2211,0.6,13,LL
1/14/2018,527,3.7,14,HH
1/14/2018,1029,2.8,14,L
1/14/2018,1453,3.4,14,H
1/14/2018,2249,0.5,14,LL
1/15/2018,600,3.8,15,HH
1/15/2018,1112,2.8,15,L
1/15/2018,1532,3.4,15,H
1/15/2018,2325,0.4,15,LL
1/16/2018,632,3.8,16,HH
1/16/2018,1150,2.8,16,L
1/16/2018,1610,3.4,16,H
1/16/2018,2358,0.4,16,LL
1/17/2018,704,3.9,17,HH
1/17/2018,1228,2.7,17,L
1/17/2018,1649,3.3,17,H
1/18/2018,31,0.4,18,LL
1/18/2018,734,3.9,18,HH
1/18/2018,1307,2.6,18,L
1/18/2018,1729,3.3,18,H
1/19/2018,102,0.5,19,LL
1/19/2018,802,3.9,19,HH
1/19/2018,1349,2.5,19,L
1/19/2018,1812,3.2,19,H
1/20/2018,133,0.6,20,LL
1/20/2018,828,3.9,20,HH
1/20/2018,1432,2.3,20,L
1/20/2018,1859,3.1,20,H
1/21/2018,205,0.8,21,LL
1/21/2018,855,3.9,21,HH
1/21/2018,1519,2.1,21,L
1/21/2018,1953,2.9,21,H
1/22/2018,238,1,22,LL
1/22/2018,924,3.8,22,HH
1/22/2018,1609,1.9,22,L
1/22/2018,2058,2.8,22,H
1/23/2018,315,1.3,23,LL
1/23/2018,955,3.8,23,HH
1/23/2018,1700,1.7,23,L
1/23/2018,2217,2.7,23,H
1/24/2018,359,1.7,24,L
1/24/2018,1031,3.8,24,HH
1/24/2018,1754,1.4,24,LL
1/24/2018,2353,2.7,24,H
1/25/2018,454,2.1,25,L
1/25/2018,1110,3.8,25,HH
1/25/2018,1850,1.1,25,LL
1/26/2018,138,2.9,26,H
1/26/2018,606,2.4,26,L
1/26/2018,1155,3.7,26,HH
1/26/2018,1947,0.8,26,LL
1/27/2018,305,3.2,27,H
1/27/2018,731,2.7,27,L
1/27/2018,1245,3.7,27,HH
1/27/2018,2045,0.5,27,LL
1/28/2018,407,3.5,28,H
1/28/2018,851,2.8,28,L
1/28/2018,1342,3.7,28,HH
1/28/2018,2140,0.3,28,LL
1/29/2018,456,3.7,29,H
1/29/2018,959,2.8,29,L
1/29/2018,1441,3.7,29,HH
1/29/2018,2233,0.1,29,LL
1/30/2018,539,3.9,30,HH
1/30/2018,1058,2.7,30,L
1/30/2018,1540,3.7,30,H
1/30/2018,2322,0,30,LL
1/31/2018,618,4,31,HH
1/31/2018,1152,2.5,31,L
1/31/2018,1638,3.7,31,H
2/1/2018,8,0,32,LL
2/1/2018,656,4.1,32,HH
2/1/2018,1244,2.3,32,L
2/1/2018,1734,3.6,32,H
2/2/2018,51,0.1,33,LL
2/2/2018,733,4.1,33,HH
2/2/2018,1335,2.1,33,L
2/3/2018,132,0.4,34,LL
2/3/2018,810,4.1,34,HH
2/3/2018,1427,1.9,34,L
2/3/2018,1928,3.2,34,H
2/4/2018,211,0.7,35,LL
2/4/2018,846,4,35,HH
2/4/2018,1521,1.6,35,L
2/4/2018,2032,3,35,H
2/5/2018,251,1.1,36,LL
2/5/2018,922,3.9,36,HH
2/5/2018,1615,1.4,36,L
2/5/2018,2147,2.9,36,H
2/6/2018,333,1.6,37,L
2/6/2018,958,3.8,37,HH
2/6/2018,1709,1.3,37,LL
2/6/2018,2318,2.8,37,H
2/7/2018,421,2.1,38,L
2/7/2018,1034,3.6,38,HH
2/7/2018,1805,1.1,38,LL
2/8/2018,57,2.9,39,H
2/8/2018,525,2.5,39,L
2/8/2018,1111,3.4,39,HH
2/8/2018,1903,1,39,LL
2/9/2018,227,3.1,40,H
2/9/2018,652,2.7,40,L
2/9/2018,1154,3.3,40,HH
2/10/2018,333,3.3,41,HH
2/10/2018,823,2.8,41,L
2/10/2018,1244,3.2,41,H
2/10/2018,2052,0.8,41,LL
2/11/2018,419,3.5,42,HH
2/11/2018,932,2.8,42,L
2/11/2018,1339,3.2,42,H
2/11/2018,2139,0.7,42,LL
2/12/2018,456,3.6,43,HH
2/12/2018,1019,2.7,43,L
2/12/2018,1433,3.2,43,H
2/12/2018,2221,0.6,43,LL
2/13/2018,530,3.7,44,HH
2/13/2018,1057,2.6,44,L
2/13/2018,1522,3.2,44,H
2/13/2018,2259,0.6,44,LL
2/14/2018,600,3.7,45,HH
2/14/2018,1132,2.5,45,L
2/14/2018,1607,3.2,45,H
2/14/2018,2335,0.5,45,LL
2/15/2018,628,3.7,46,HH
2/15/2018,1207,2.3,46,L
2/15/2018,1650,3.3,46,H
2/16/2018,8,0.6,47,LL
2/16/2018,654,3.7,47,HH
2/16/2018,1242,2.2,47,L
2/16/2018,1734,3.3,47,H
2/17/2018,39,0.6,48,LL
2/17/2018,717,3.7,48,HH
2/17/2018,1319,2,48,L
2/17/2018,1819,3.2,48,H
2/18/2018,111,0.8,49,LL
2/18/2018,739,3.7,49,HH
2/18/2018,1358,1.8,49,L
2/18/2018,1907,3.2,49,H
,,,,
,,,,
,,,,
,,,,
2/20/2018,217,1.3,51,LL
2/20/2018,831,3.7,51,HH
2/20/2018,1524,1.4,51,L 
2/20/2018,2102,3,51,H 
2/21/2018,256,1.6,52,L
2/21/2018,902,3.7,52,HH
2/21/2018,1612,1.2,52,LL
2/21/2018,2216,3,52,H
2/22/2018,343,2,53,L
2/22/2018,938,3.6,53,HH
2/22/2018,1705,1,53,LL
2/22/2018,2344,3,53,H
2/23/2018,445,2.4,54,L
2/23/2018,1021,3.5,54,HH
2/23/2018,1804,0.8,54,LL
2/24/2018,122,3.2,55,H
2/24/2018,609,2.6,55,L
2/24/2018,1114,3.4,55,HH
2/24/2018,1909,0.7,55,LL
2/25/2018,244,3.4,56,H
2/25/2018,742,2.7,56,L
2/25/2018,1219,3.4,56,H
2/25/2018,2015,0.5,56,LL
2/26/2018,343,3.6,57,HH
