Temp_C,Date,Hour,AM_PM,Time,Date_Time,Logger_ID,MO,Tide_AMSL_m,Tide_ht,Pipe_position
15.145,2020-07-02,3:01:01,PM,15:01,7/2/2020 15:01,H2,S,0.5,L,Upstream
13.641,2020-07-02,4:01:01,PM,16:01,7/2/2020 16:01,H2,S,0.5,L,Upstream
13.139,2020-07-02,5:01:01,PM,17:01,7/2/2020 17:01,H2,S,0.5,L,Upstream
12.637,2020-07-02,6:01:01,PM,18:01,7/2/2020 18:01,H2,S,0.5,L,Upstream
12.637,2020-07-02,7:01:01,PM,19:01,7/2/2020 19:01,H2,S,0.5,L,Upstream
13.139,2020-07-02,8:01:01,PM,20:01,7/2/2020 20:01,H2,S,0.5,L,Upstream
13.139,2020-07-02,9:01:01,PM,21:01,7/2/2020 21:01,H2,S,0.5,L,Upstream
13.139,2020-07-02,10:01:01,PM,22:01,7/2/2020 22:01,H2,S,0.5,L,Upstream
13.139,2020-07-02,11:01:01,PM,23:01,7/2/2020 23:01,H2,S,0.5,L,Upstream
13.139,2020-07-03,12:01:01,AM,0:01,7/3/2020 0:01,H2,S,0.5,L,Upstream
13.139,2020-07-03,1:01:01,AM,1:01,7/3/2020 1:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,2:01:01,AM,2:01,7/3/2020 2:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,3:01:01,AM,3:01,7/3/2020 3:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,4:01:01,AM,4:01,7/3/2020 4:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,5:01:01,AM,5:01,7/3/2020 5:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,6:01:01,AM,6:01,7/3/2020 6:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,7:01:01,AM,7:01,7/3/2020 7:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,8:01:01,AM,8:01,7/3/2020 8:01,H2,S,0.5,L,Upstream
13.139,2020-07-03,9:01:01,AM,9:01,7/3/2020 9:01,H2,S,0.5,L,Upstream
13.641,2020-07-03,10:01:01,AM,10:01,7/3/2020 10:01,H2,S,0.5,L,Upstream
14.142,2020-07-03,11:01:01,AM,11:01,7/3/2020 11:01,H2,S,0.5,L,Upstream
14.644,2020-07-03,12:01:01,PM,12:01,7/3/2020 12:01,H2,S,0.5,L,Upstream
15.145,2020-07-03,1:01:01,PM,13:01,7/3/2020 13:01,H2,S,0.5,L,Upstream
14.644,2020-07-03,2:01:01,PM,14:01,7/3/2020 14:01,H2,S,0.5,L,Upstream
14.644,2020-07-03,3:01:01,PM,15:01,7/3/2020 15:01,H2,S,0.5,L,Upstream
13.641,2020-07-03,4:01:01,PM,16:01,7/3/2020 16:01,H2,S,0.5,L,Upstream
13.139,2020-07-03,5:01:01,PM,17:01,7/3/2020 17:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,6:01:01,PM,18:01,7/3/2020 18:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,7:01:01,PM,19:01,7/3/2020 19:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,8:01:01,PM,20:01,7/3/2020 20:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,9:01:01,PM,21:01,7/3/2020 21:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,10:01:01,PM,22:01,7/3/2020 22:01,H2,S,0.5,L,Upstream
12.637,2020-07-03,11:01:01,PM,23:01,7/3/2020 23:01,H2,S,0.5,L,Upstream
